"用户编号","缴费总额","缴费次数","用户类型","平均金额","平均缴费次","guiyi_money","guiyi_ci"
"1000000073","404","4","低价值型客户","705.24","6.64","0.12038523274478331","0.2"
"1000000074","636","7","大众型客户","705.24","6.64","0.30658105939004815","0.8"
"1000000075","629","7","大众型客户","705.24","6.64","0.30096308186195825","0.8"
"1000000076","725","7","高价值型客户","705.24","6.64","0.3780096308186196","0.8"
"1000000077","720","7","高价值型客户","705.24","6.64","0.3739967897271268","0.8"
"1000000078","592","5","低价值型客户","705.24","6.64","0.2712680577849117","0.4"
"1000000079","597","6","低价值型客户","705.24","6.64","0.2752808988764045","0.6"
"1000000080","603","7","大众型客户","705.24","6.64","0.28009630818619585","0.8"
"1000000081","680","7","大众型客户","705.24","6.64","0.3418940609951846","0.8"
"1000000082","508","5","低价值型客户","705.24","6.64","0.20385232744783308","0.4"
"1000000083","748","7","高价值型客户","705.24","6.64","0.39646869983948635","0.8"
"1000000084","1289","7","高价值型客户","705.24","6.64","0.8306581059390048","0.8"
"1000000085","569","7","大众型客户","705.24","6.64","0.25280898876404495","0.8"
"1000000086","325","4","低价值型客户","705.24","6.64","0.05698234349919743","0.2"
"1000000087","651","7","大众型客户","705.24","6.64","0.3186195826645265","0.8"
"1000000088","538","7","大众型客户","705.24","6.64","0.22792937399678972","0.8"
"1000000089","388","5","低价值型客户","705.24","6.64","0.10754414125200643","0.4"
"1000000090","612","6","低价值型客户","705.24","6.64","0.28731942215088285","0.6"
"1000000091","761","7","高价值型客户","705.24","6.64","0.4069020866773676","0.8"
"1000000092","254","3","低价值型客户","705.24","6.64","0","0"
"1000000093","463","5","低价值型客户","705.24","6.64","0.16773675762439808","0.4"
"1000000094","626","6","低价值型客户","705.24","6.64","0.2985553772070626","0.6"
"1000000095","999","7","高价值型客户","705.24","6.64","0.5979133226324238","0.8"
"1000000096","916","7","高价值型客户","705.24","6.64","0.5313001605136437","0.8"
"1000000097","649","6","低价值型客户","705.24","6.64","0.31701444622792935","0.6"
"1000000098","735","6","潜力型客户","705.24","6.64","0.38603531300160515","0.6"
"1000000099","853","6","潜力型客户","705.24","6.64","0.48073836276083465","0.6"
"1000000100","943","7","高价值型客户","705.24","6.64","0.5529695024077047","0.8"
